date,sku_name,sales,selling_price
2024-01-01,SKU_000_CAT_00,45,78.95
2024-01-02,SKU_000_CAT_00,63,78.95
2024-01-03,SKU_000_CAT_00,52,78.95
2024-01-04,SKU_000_CAT_00,43,78.95
2024-01-05,SKU_000_CAT_00,28,78.95
2024-01-06,SKU_000_CAT_00,42,78.95
2024-01-07,SKU_000_CAT_00,49,78.95
2024-01-08,SKU_000_CAT_00,43,78.95
2024-01-09,SKU_000_CAT_00,58,78.95
2024-01-10,SKU_000_CAT_00,54,78.95
2024-01-11,SKU_000_CAT_00,48,78.95
2024-01-12,SKU_000_CAT_00,36,78.95
2024-01-13,SKU_000_CAT_00,40,78.95
2024-01-14,SKU_000_CAT_00,48,78.95
2024-01-15,SKU_000_CAT_00,47,78.95
2024-01-16,SKU_000_CAT_00,80,69.04
2024-01-17,SKU_000_CAT_00,52,78.95
2024-01-18,SKU_000_CAT_00,54,78.95
2024-01-19,SKU_000_CAT_00,36,78.95
2024-01-20,SKU_000_CAT_00,43,78.95
2024-01-21,SKU_000_CAT_00,41,78.95
2024-01-22,SKU_000_CAT_00,41,78.95
2024-01-23,SKU_000_CAT_00,55,78.95
2024-01-24,SKU_000_CAT_00,59,78.95
2024-01-25,SKU_000_CAT_00,54,78.95
2024-01-26,SKU_000_CAT_00,43,78.95
2024-01-27,SKU_000_CAT_00,43,78.95
2024-01-28,SKU_000_CAT_00,37,78.95
2024-01-29,SKU_000_CAT_00,53,78.95
2024-01-30,SKU_000_CAT_00,52,78.95
2024-01-31,SKU_000_CAT_00,56,78.95
2024-02-01,SKU_000_CAT_00,58,78.95
2024-02-02,SKU_000_CAT_00,45,78.95
2024-02-03,SKU_000_CAT_00,38,78.95
2024-02-04,SKU_000_CAT_00,46,78.95
2024-02-05,SKU_000_CAT_00,55,78.95
2024-02-06,SKU_000_CAT_00,59,78.95
2024-02-07,SKU_000_CAT_00,59,78.95
2024-02-08,SKU_000_CAT_00,47,78.95
2024-02-09,SKU_000_CAT_00,44,78.95
2024-02-10,SKU_000_CAT_00,46,78.95
2024-02-11,SKU_000_CAT_00,45,78.95
2024-02-12,SKU_000_CAT_00,44,78.95
