date,sku_name,sales,selling_price
2025-01-01,APPLE-IPHONE-CASE,59,28.0
2025-01-02,APPLE-IPHONE-CASE,95,22.4
2025-01-03,APPLE-IPHONE-CASE,46,28.0
2025-01-04,APPLE-IPHONE-CASE,38,28.0
2025-01-05,APPLE-IPHONE-CASE,30,28.0
2025-01-06,APPLE-IPHONE-CASE,46,28.0
2025-01-07,APPLE-IPHONE-CASE,54,28.0
2025-01-08,APPLE-IPHONE-CASE,58,28.0
2025-01-09,APPLE-IPHONE-CASE,61,28.0
2025-01-10,APPLE-IPHONE-CASE,51,28.0
2025-01-11,APPLE-IPHONE-CASE,51,22.4
2025-01-12,APPLE-IPHONE-CASE,32,28.0
2025-01-13,APPLE-IPHONE-CASE,43,28.0
2025-01-14,APPLE-IPHONE-CASE,54,28.0
2025-01-15,APPLE-IPHONE-CASE,61,28.0
2025-01-16,APPLE-IPHONE-CASE,58,28.0
2025-01-17,APPLE-IPHONE-CASE,75,22.4
2025-01-18,APPLE-IPHONE-CASE,37,28.0
2025-01-19,APPLE-IPHONE-CASE,34,28.0
2025-01-20,APPLE-IPHONE-CASE,43,28.0
2025-01-21,APPLE-IPHONE-CASE,49,28.0
2025-01-22,APPLE-IPHONE-CASE,67,28.0
2025-01-23,APPLE-IPHONE-CASE,74,28.0
2025-01-24,APPLE-IPHONE-CASE,44,28.0
2025-01-25,APPLE-IPHONE-CASE,40,28.0
2025-01-26,APPLE-IPHONE-CASE,37,28.0
2025-01-27,APPLE-IPHONE-CASE,46,28.0
2025-01-28,APPLE-IPHONE-CASE,54,28.0
2025-01-29,APPLE-IPHONE-CASE,64,28.0
2025-01-30,APPLE-IPHONE-CASE,57,28.0
2025-01-31,APPLE-IPHONE-CASE,49,28.0
2025-02-01,APPLE-IPHONE-CASE,43,28.0
2025-02-02,APPLE-IPHONE-CASE,31,28.0
2025-02-03,APPLE-IPHONE-CASE,34,28.0
2025-02-04,APPLE-IPHONE-CASE,57,28.0
2025-02-05,APPLE-IPHONE-CASE,71,28.0
2025-02-06,APPLE-IPHONE-CASE,61,28.0
2025-02-07,APPLE-IPHONE-CASE,58,28.0
2025-02-08,APPLE-IPHONE-CASE,36,28.0
2025-02-09,APPLE-IPHONE-CASE,34,28.0
2025-02-10,APPLE-IPHONE-CASE,39,28.0
2025-02-11,APPLE-IPHONE-CASE,56,28.0
2025-02-12,APPLE-IPHONE-CASE,71,28.0
2025-02-13,APPLE-IPHONE-CASE,67,28.0
2025-02-14,APPLE-IPHONE-CASE,56,28.0
2025-02-15,APPLE-IPHONE-CASE,41,28.0
2025-02-16,APPLE-IPHONE-CASE,36,28.0
2025-02-17,APPLE-IPHONE-CASE,34,28.0
2025-02-18,APPLE-IPHONE-CASE,54,28.0
2025-02-19,APPLE-IPHONE-CASE,80,28.0
2025-02-20,APPLE-IPHONE-CASE,61,28.0
2025-02-21,APPLE-IPHONE-CASE,54,28.0
2025-02-22,APPLE-IPHONE-CASE,37,28.0
2025-02-23,APPLE-IPHONE-CASE,37,28.0
2025-02-24,APPLE-IPHONE-CASE,44,28.0
2025-02-25,APPLE-IPHONE-CASE,53,28.0
2025-02-26,APPLE-IPHONE-CASE,63,28.0
2025-02-27,APPLE-IPHONE-CASE,65,28.0
2025-02-28,APPLE-IPHONE-CASE,48,28.0
2025-03-01,APPLE-IPHONE-CASE,30,28.0
2025-03-02,APPLE-IPHONE-CASE,37,28.0
2025-03-03,APPLE-IPHONE-CASE,48,28.0
2025-03-04,APPLE-IPHONE-CASE,63,28.0
2025-03-05,APPLE-IPHONE-CASE,72,28.0
2025-03-06,APPLE-IPHONE-CASE,56,28.0
2025-03-07,APPLE-IPHONE-CASE,59,28.0
2025-03-08,APPLE-IPHONE-CASE,37,28.0
2025-03-09,APPLE-IPHONE-CASE,31,28.0
2025-03-10,APPLE-IPHONE-CASE,42,28.0
2025-03-11,APPLE-IPHONE-CASE,55,28.0
2025-03-12,APPLE-IPHONE-CASE,61,28.0
2025-03-13,APPLE-IPHONE-CASE,64,28.0
2025-03-14,APPLE-IPHONE-CASE,52,28.0
2025-03-15,APPLE-IPHONE-CASE,37,28.0
2025-03-16,APPLE-IPHONE-CASE,36,28.0
2025-03-17,APPLE-IPHONE-CASE,43,28.0
2025-03-18,APPLE-IPHONE-CASE,55,28.0
2025-03-19,APPLE-IPHONE-CASE,65,28.0
2025-03-20,APPLE-IPHONE-CASE,67,28.0
2025-03-21,APPLE-IPHONE-CASE,45,28.0
2025-03-22,APPLE-IPHONE-CASE,36,28.0
2025-03-23,APPLE-IPHONE-CASE,39,28.0
2025-03-24,APPLE-IPHONE-CASE,45,28.0
2025-03-25,APPLE-IPHONE-CASE,62,28.0
2025-03-26,APPLE-IPHONE-CASE,68,28.0
2025-03-27,APPLE-IPHONE-CASE,59,28.0
2025-03-28,APPLE-IPHONE-CASE,50,28.0
2025-03-29,APPLE-IPHONE-CASE,39,28.0
